filename;lang;lang_proba
'90.txt';'en';'[en:0.9999973026528282]'
'608.txt';'en';'[en:0.9999960602687126]'
'185.txt';'en';'[en:0.9999973030861846]'
'191.txt';'nl';'[nl:0.9999956335564617]'
'47.txt';'en';'[en:0.9999961976416474]'
'1.txt';'en';'[en:0.9999972111255353]'
'53.txt';'en';'[en:0.9999959370682918]'
'230.txt';'en';'[en:0.9999963234634884]'
'556.txt';'en';'[en:0.9999961190555928]'
'542.txt';'en';'[en:0.9999937247852457]'
'224.txt';'en';'[en:0.9999977816098474]'
'218.txt';'en';'[en:0.9999977265601485]'
'595.txt';'en';'[en:0.9999960030562507]'
'581.txt';'en';'[en:0.9999973900311829]'
'280.txt';'en';'[en:0.9999963622840529]'
'294.txt';'en';'[en:0.9999955344603652]'
'243.txt';'en';'[en:0.9999968282586597]'
'257.txt';'en';'[en:0.9999977763660433]'
'727.txt';'ro';'[ro:0.9999931588337669]'
'690.txt';'en';'[en:0.9999978316706277]'
'684.txt';'en';'[en:0.999998391999113]'
'34.txt';'en';'[en:0.9999971386616452]'
'20.txt';'en';'[en:0.9999969798263479]'
'135.txt';'en';'[en:0.9999982147936047]'
'653.txt';'en';'[en:0.9999965008054326]'
'647.txt';'en';'[en:0.9999954230378345]'
'121.txt';'en';'[en:0.9999971365485042]'
'109.txt';'en';'[en:0.9999965211120772]'
'492.txt';'en';'[en:0.9999941475144895]'
'486.txt';'en';'[en:0.9999988186184412]'
'337.txt';'en';'[en:0.9999936372998263]'
'323.txt';'en';'[en:0.9999965616463746]'
'445.txt';'en';'[en:0.9999965055430131]'
'479.txt';'en';'[en:0.9999959945450624]'
'478.txt';'en';'[en:0.9999948003199153]'
'322.txt';'en';'[en:0.999996362323613]'
'444.txt';'en';'[en:0.9999967945554458]'
'450.txt';'en';'[en:0.9999974218426307]'
'336.txt';'en';'[en:0.9999976616099246]'
'493.txt';'en';'[en:0.9999949508694284]'
'108.txt';'en';'[en:0.9999975551508098]'
'646.txt';'en';'[en:0.9999978556093693]'
'120.txt';'en';'[en:0.9999973970349955]'
'134.txt';'en';'[en:0.9999954853283554]'
'21.txt';'en';'[en:0.9999978313236413]'
'35.txt';'en';'[en:0.9999963874674802]'
'685.txt';'en';'[en:0.9999964829533836]'
'691.txt';'en';'[en:0.9999979715997585]'
'726.txt';'en';'[en:0.9999959215512582]'
'518.txt';'en';'[en:0.9999973022675099]'
'256.txt';'en';'[en:0.9999952654806967]'
'530.txt';'en';'[en:0.9999971588986096]'
'524.txt';'en';'[en:0.9999953653833635]'
'242.txt';'en';'[en:0.9999962995558569]'
'295.txt';'en';'[en:0.9999960899357523]'
'281.txt';'en';'[en:0.9999955579831183]'
'283.txt';'en';'[en:0.9999956608882516]'
'532.txt';'de';'[de:0.9999964203969731]'
'254.txt';'en';'[en:0.9999966522337547]'
'240.txt';'en';'[en:0.9999970312344112]'
'268.txt';'en';'[en:0.9999959223999746]'
'724.txt';'en';'[en:0.9999960634810707]'
'718.txt';'en';'[en:0.9999952011929154]'
'687.txt';'en';'[en:0.9999978262561134]'
'693.txt';'en';'[en:0.9999948317019849]'
'23.txt';'en';'[en:0.9999971985974407]'
'37.txt';'en';'[en:0.9999947787059569]'
'122.txt';'en';'[en:0.9999967074424807]'
'644.txt';'en';'[en:0.9999958932977058]'
'650.txt';'en';'[en:0.9999961596764512]'
'136.txt';'en';'[en:0.9999959120012887]'
'678.txt';'en';'[en:0.9999975138454733]'
'485.txt';'en';'[en:0.9999969811965561]'
'491.txt';'fr';'[fr:0.9999951373744882]'
'446.txt';'en';'[en:0.999996055733048]'
'320.txt';'en';'[en:0.9999962986653961]'
'334.txt';'en';'[en:0.9999983157997274]'
'308.txt';'en';'[en:0.9999944750667251]'
'309.txt';'de';'[de:0.9999965391215564]'
'335.txt';'en';'[en:0.9999962294637077]'
'321.txt';'en';'[en:0.9999969622764924]'
'490.txt';'en';'[en:0.9999973982233827]'
'484.txt';'en';'[en:0.9999967128498571]'
'679.txt';'en';'[en:0.9999986705501641]'
'651.txt';'en';'[en:0.9999977682321626]'
'137.txt';'en';'[en:0.9999981421925155]'
'123.txt';'en';'[en:0.9999944180399688]'
'645.txt';'en';'[en:0.999997135363857]'
'36.txt';'en';'[en:0.999996910140176]'
'22.txt';'en';'[en:0.9999955502765133]'
'692.txt';'en';'[en:0.999996361915776]'
'686.txt';'en';'[en:0.9999958688549775]'
'719.txt';'en';'[en:0.9999976204209641]'
'725.txt';'en';'[en:0.9999959072242183]'
'269.txt';'en';'[en:0.999995703015947]'
'241.txt';'en';'[en:0.9999972490770659]'
'527.txt';'en';'[en:0.9999957907502447]'
'533.txt';'de';'[de:0.9999947032441481]'
'255.txt';'en';'[en:0.9999971324791375]'
